,color,command,deleted,from,message,room,timestamp,video-offset,badges,bits,color,display-name,emotes,id,login,mod,msg-id,msg-param-months,room-id,sent-ts,style,subscriber,system-msg,tmi-sent-ts,turbo,user-id,user-type
34,,,False,jackjensens,HIHIHIHI,clintstevens,1492400419637,22637,"subscriber/0,bits/100",,,JackJensens,,b6340872-ac08-4a39-8902-d5202f09084a,,False,,,86268118,1492400041485,,True,,1492400434022,False,141948140,
35,,,False,timberbot111991,Clunt has returned,clintstevens,1492400420079,23079,,,,Timberbot111991,,0c395f66-72c9-4864-afe5-af69a27c75e1,,False,,,86268118,,,False,,1492400434472,False,88946107,
36,#8A2BE2,,False,jjamrog,yo clint PogChamp,clintstevens,1492400420356,23356,subscriber/0,,#8A2BE2,JJamrog,"{'88': [[9, 16]]}",0c1b119d-f8d8-419c-a85a-ab4ae872e977,,False,,,86268118,1492400418358,,True,,1492400434814,False,40053103,
37,#00CC2C,,False,quacrunk,how was ur easter?,clintstevens,1492400420589,23589,"subscriber/3,premium/1",,#00CC2C,quacrunk,,7f8f9750-2cad-47c0-afa4-3b2c2378a411,,False,,,86268118,1492400435047,,True,,1492400435034,False,76030467,
38,#E6C300,,False,chuckthegypsy,OVERWATCH TONIGHT? PogChamp,clintstevens,1492400420755,23755,"subscriber/12,premium/1",,#E6C300,ChuckTheGypsy,"{'88': [[19, 26]]}",74d2fc2d-81cc-4903-9a9d-e20bb7af1f67,,False,,,86268118,1492400433682,,True,,1492400435208,False,27862377,
39,#00CC9C,,False,sweetncreamy,clintC clintC clintC,clintstevens,1492400420896,23896,"subscriber/3,premium/1",,#00CC9C,SweetNCreamy,"{'146960': [[0, 5], [7, 12], [14, 19]]}",c12bb214-30ff-4a1f-ab3d-1281be6b07be,,False,,,86268118,1492400436114,,True,,1492400435271,False,38573625,
40,#FF0000,,False,hurpyhooves,Hello Clint VoHiYo,clintstevens,1492400423948,26948,"subscriber/3,bits/1000",,#FF0000,HurpyHooves,"{'81274': [[12, 17]]}",8e8f8f17-a6cd-4cd8-9841-3d29f33fea62,,False,,,86268118,,,True,,1492400438401,False,39797784,
41,#DAA520,,False,j_daisley,Sup buddy,clintstevens,1492400424612,27612,subscriber/6,,#DAA520,j_daisley,,218664fe-39ee-4b6f-9962-79b2e3b73ced,,False,,,86268118,,,True,,1492400439038,False,129508671,
42,,,False,chinah_numbah_wan,CLINT SENPAI PogChamp,clintstevens,1492400424765,27765,,,,chinah_numbah_wan,"{'88': [[13, 20]]}",b9a46208-7e6f-4b47-a038-37fc56ea7b0c,,False,,,86268118,1492400440356,,False,,1492400439169,False,141121366,
43,#E6C300,,False,chuckthegypsy,hi clint,clintstevens,1492400425588,28588,"subscriber/12,premium/1",,#E6C300,ChuckTheGypsy,,7fca1077-ab95-4550-997b-912696c87a6d,,False,,,86268118,1492400438526,,True,,1492400440048,False,27862377,
44,#63CC00,,False,sapenti,Yo,clintstevens,1492400425631,28631,"subscriber/6,bits/100",,#63CC00,Sapenti,,df748b66-81ec-4a5f-a6ea-a6151497167d,,False,,,86268118,1492400444429,,True,,1492400440058,False,57554597,
45,#00FF7F,,False,slrrpdrr,wooooo i just finished fapping and clint is live!,clintstevens,1492400427011,30011,,,#00FF7F,Slrrpdrr,,ff4a0b50-f20d-4273-a82e-f178dd9f1e9b,,False,,,86268118,1492400439382,,False,,1492400441432,False,74127876,
